"id","fecha","hora","temperatura","humedad","intensidad_luz","humedad_suelo"
"238","2024-01-29","01:20:09","17.40","65.00","20.83","11.04"
"239","2024-01-29","01:20:14","17.40","65.00","21.67","10.37"
"240","2024-01-29","01:20:18","17.40","65.10","20.83","11.47"
"241","2024-01-29","01:20:22","17.40","65.00","20.83","11.10"
"242","2024-01-29","01:20:26","17.40","65.00","20.83","16.08"
"243","2024-01-29","01:20:31","17.40","65.00","20.83","10.56"
"244","2024-01-29","01:20:35","17.40","65.00","20.83","12.01"
"245","2024-01-29","01:20:40","17.40","65.00","20.83","11.71"
"246","2024-01-29","01:20:44","17.40","64.90","20.83","10.62"
"247","2024-01-29","01:20:48","17.40","64.90","21.67","14.26"
"248","2024-01-29","01:20:52","17.40","64.90","20.83","13.10"
"249","2024-01-29","01:20:56","17.40","64.90","20.83","12.01"
"250","2024-01-29","01:21:00","17.40","64.90","20.83","10.74"
"251","2024-01-29","01:21:05","17.40","65.00","20.83","10.31"
"252","2024-01-29","01:21:09","17.40","65.00","20.83","11.53"
"253","2024-01-29","01:21:13","17.40","65.10","20.83","10.74"
"254","2024-01-29","01:21:18","17.40","65.10","20.83","10.86"
"255","2024-01-29","01:21:22","17.40","65.10","20.83","12.01"
"256","2024-01-29","01:21:26","17.50","65.10","20.83","14.32"
"257","2024-01-29","01:21:34","17.50","65.00","20.83","11.41"
"258","2024-01-29","01:21:38","17.40","65.00","20.83","8.68"
"259","2024-01-29","01:21:43","17.40","64.90","20.83","12.38"
"260","2024-01-29","01:21:47","17.50","64.90","20.83","11.34"
"261","2024-01-29","01:21:51","17.50","64.90","20.83","12.44"
"262","2024-01-29","01:21:55","17.50","64.90","20.83","11.65"
"263","2024-01-29","01:21:59","17.50","64.90","20.83","11.22"
"264","2024-01-29","01:22:03","17.50","64.90","20.83","10.56"
"265","2024-01-29","01:22:08","17.50","64.90","20.83","14.14"
"266","2024-01-29","01:22:12","17.40","64.80","20.83","11.10"
"267","2024-01-29","01:22:16","17.40","64.80","20.83","11.65"
"268","2024-01-29","01:22:21","17.50","64.80","20.83","11.22"
"269","2024-01-29","01:22:25","17.40","64.90","20.83","11.22"
"270","2024-01-29","01:22:29","17.50","64.90","20.83","11.53"
"271","2024-01-29","01:22:33","17.40","64.90","20.83","11.41"
"272","2024-01-29","01:22:37","17.50","64.90","20.83","10.50"
"273","2024-01-29","01:22:42","17.40","65.00","20.83","11.28"
"274","2024-01-29","01:22:46","17.40","65.00","20.83","11.41"
"275","2024-01-29","01:22:50","17.40","64.90","20.83","11.04"
"276","2024-01-29","01:22:54","17.40","64.90","20.83","12.13"
"277","2024-01-29","01:22:58","17.40","64.90","21.67","14.07"
"278","2024-01-29","01:23:03","17.40","64.90","20.83","12.32"
"279","2024-01-29","01:23:07","17.40","64.90","20.83","13.65"
"280","2024-01-29","01:23:11","17.40","64.80","20.83","16.32"
"281","2024-01-29","01:23:16","17.40","64.90","20.83","10.56"
"282","2024-01-29","01:23:20","17.40","64.90","21.67","10.86"
"283","2024-01-29","01:23:24","17.40","65.00","21.67","10.86"
"284","2024-01-29","01:23:28","17.40","65.00","20.83","11.10"
"285","2024-01-29","01:23:33","17.40","65.00","20.83","12.13"
"286","2024-01-29","01:23:37","17.50","64.90","20.83","11.71"
"287","2024-01-29","01:23:41","17.50","64.80","20.83","11.04"
"288","2024-01-29","01:23:46","17.40","64.80","20.83","11.04"
"289","2024-01-29","01:23:50","17.40","64.70","20.83","11.04"
"290","2024-01-29","01:23:54","17.40","64.70","20.83","11.04"
"291","2024-01-29","01:23:58","17.40","64.70","20.83","12.13"
"292","2024-01-29","01:24:02","17.40","64.70","20.83","10.86"
"293","2024-01-29","01:24:07","17.50","64.70","20.83","13.04"
"294","2024-01-29","01:24:11","17.40","64.70","20.83","11.89"
"295","2024-01-29","01:24:15","17.40","64.70","20.83","11.59"
"296","2024-01-29","01:24:19","17.40","64.70","20.83","11.59"
"297","2024-01-29","01:24:23","17.40","64.70","20.83","10.68"
"298","2024-01-29","01:24:28","17.40","64.80","20.83","16.32"
"299","2024-01-29","01:24:32","17.40","64.80","20.83","15.72"
"300","2024-01-29","01:24:36","17.50","64.80","20.83","10.50"
"301","2024-01-29","01:24:44","17.50","64.80","20.83","16.38"
"302","2024-01-29","01:24:48","17.50","64.80","20.83","11.53"
"303","2024-01-29","01:24:52","17.40","64.80","20.83","11.34"
"304","2024-01-29","01:24:56","17.40","64.80","20.83","12.13"
"305","2024-01-29","01:25:00","17.40","64.80","21.67","10.74"
"306","2024-01-29","01:25:04","17.40","64.80","20.83","10.86"
"307","2024-01-29","01:25:09","17.40","64.80","20.83","11.22"
"308","2024-01-29","01:25:13","17.40","64.80","20.83","10.68"
"309","2024-01-29","01:25:18","17.40","64.80","20.83","12.38"
"310","2024-01-29","01:25:22","17.40","64.80","20.83","11.34"
"311","2024-01-29","01:25:26","17.40","64.80","20.83","11.65"
"312","2024-01-29","01:25:30","17.40","64.80","21.67","11.59"
"313","2024-01-29","01:25:35","17.40","64.80","20.83","10.56"
"314","2024-01-29","01:25:39","17.40","64.90","21.67","12.32"
"315","2024-01-29","01:25:43","17.40","64.90","21.67","11.83"
"316","2024-01-29","01:25:47","17.40","64.80","21.67","10.19"
"317","2024-01-29","01:25:51","17.50","64.70","21.67","11.04"
"318","2024-01-29","01:25:56","17.40","64.70","20.83","15.23"
"319","2024-01-29","01:26:00","17.50","64.70","20.83","12.86"
"320","2024-01-29","01:26:04","17.40","64.70","20.83","13.59"
"321","2024-01-29","01:26:08","17.40","64.70","20.83","10.37"
"322","2024-01-29","01:26:12","17.40","64.80","20.83","12.07"
"323","2024-01-29","01:26:17","17.40","64.90","20.83","12.68"
"324","2024-01-29","01:26:21","17.40","64.90","20.83","12.07"
"325","2024-01-29","01:26:25","17.40","64.90","21.67","12.38"
